"CustomerID";"ReturnCount"
"CUST8644";"1"
"CUST4586";"1"
"CUST2985";"1"
"CUST1485";"1"
"CUST2433";"1"
"CUST7175";"1"
"CUST8233";"1"
"CUST4626";"1"
"CUST1528";"1"
"CUST4209";"1"
"CUST1411";"1"
"CUST7922";"1"
"CUST4715";"1"
"CUST8028";"1"
"CUST2727";"1"
"CUST5696";"1"
"CUST2613";"1"
"CUST5671";"1"
"CUST2711";"1"
"CUST8376";"1"
"CUST6252";"1"
"CUST4825";"1"
"CUST9555";"1"
"CUST9989";"1"
"CUST3151";"1"
"CUST1260";"1"
"CUST6047";"1"
"CUST5845";"1"
"CUST8528";"1"
"CUST6005";"1"
"CUST9204";"1"
"CUST7377";"1"
"CUST6716";"1"
"CUST6031";"1"
"CUST2052";"1"
"CUST3723";"1"
"CUST2376";"1"
"CUST8993";"1"
"CUST8418";"1"
"CUST4225";"1"
"CUST6772";"1"
"CUST2442";"1"
"CUST6770";"1"
"CUST4965";"1"
"CUST8786";"1"
"CUST7555";"1"
"CUST1780";"1"
"CUST6043";"1"
"CUST6963";"1"
"CUST7539";"1"
"CUST7003";"1"
"CUST8157";"1"
"CUST1483";"1"
"CUST1757";"1"
"CUST5037";"1"
"CUST2900";"1"
"CUST2329";"1"
"CUST3974";"1"
"CUST4946";"1"
"CUST1833";"1"
"CUST9690";"1"
"CUST6745";"1"
"CUST5871";"1"
"CUST1699";"1"
"CUST1417";"1"
"CUST2502";"1"
"CUST7966";"1"
"CUST2395";"1"
"CUST1764";"1"
"CUST8947";"1"
"CUST8082";"1"
"CUST8500";"1"
"CUST6101";"1"
"CUST7412";"1"
"CUST4487";"1"
"CUST3189";"1"
"CUST5272";"1"
"CUST5715";"1"
"CUST1864";"1"
"CUST3669";"1"
"CUST7520";"1"
"CUST6026";"1"
"CUST8570";"1"
"CUST2340";"1"
"CUST1211";"1"
"CUST9673";"1"
"CUST3213";"1"
"CUST7603";"1"
"CUST2399";"1"
"CUST4903";"1"
"CUST1356";"1"
"CUST3444";"1"
"CUST1855";"1"
"CUST5579";"1"
"CUST2457";"1"
"CUST9847";"1"
"CUST1348";"1"
"CUST1916";"1"
"CUST1449";"1"
"CUST2673";"1"
"CUST5920";"1"
"CUST4470";"1"
"CUST5708";"1"
"CUST6724";"1"
"CUST2914";"1"
"CUST3384";"1"
"CUST6865";"1"
"CUST3683";"1"
"CUST9059";"1"
"CUST1505";"1"
"CUST1317";"1"
"CUST9359";"1"
"CUST4958";"1"
"CUST1481";"1"
"CUST7866";"1"
"CUST6823";"1"
"CUST9624";"1"
"CUST1033";"1"
"CUST7763";"1"
"CUST2166";"1"
"CUST1285";"1"
"CUST2540";"1"
"CUST1693";"1"
"CUST4834";"1"
"CUST9782";"1"
"CUST6765";"1"
"CUST5408";"1"
"CUST1955";"1"
"CUST6011";"1"
"CUST2314";"1"
"CUST7852";"1"
"CUST8673";"1"
"CUST6896";"1"
"CUST6675";"1"
"CUST1839";"1"
"CUST4067";"1"
"CUST4696";"1"
"CUST1325";"1"
"CUST5826";"1"
"CUST1986";"1"
"CUST3681";"1"
"CUST9852";"1"
"CUST5726";"1"
"CUST1718";"1"
"CUST9168";"1"
"CUST4396";"1"
"CUST7909";"1"
"CUST1965";"1"
"CUST2396";"1"
"CUST5344";"1"
"CUST4628";"1"
"CUST8420";"1"
"CUST4975";"1"
"CUST7086";"1"
"CUST9045";"1"
"CUST4966";"1"
"CUST5888";"1"
"CUST2423";"1"
"CUST8314";"1"
"CUST1773";"1"
"CUST5515";"1"
"CUST3454";"1"
